artworkId,titleZh,titleEn,year,medium,dimensions,series,category,image,sourceFile
KXW-P-048,《栖光》,Dwelling in Light,2026,Woodcut Print（黑白木刻版画）,39 × 46 cm,Light and Life（光与生命）,printmaking,assets/images/catalogue-raisonne/KXW-048.jpg,KXW-P-048_栖光_Artwork.docx
KXW-P-049,《夜色匆匆》,Hurrying Through the Night,2021,Woodcut Print（黑白木刻版画）,80 × 100 cm,Light and Life（光与生命）,printmaking,assets/images/catalogue-raisonne/KXW-049.jpg,KXW-P-049_夜色匆匆_Artwork.docx
KXW-P-050,《叶撷其光》,Gathering the Light Through Leaves,2025,Woodcut Print（黑白木刻版画）,100 × 105 cm,Light and Life（光与生命）,printmaking,assets/images/catalogue-raisonne/KXW-050.jpg,KXW-P-050_叶撷其光_Artwork.docx
KXW-O-051,《春日花语》,Spring Blossoms,2026,Oil on Canvas（布面油画）,50 cm（Diameter）,Light and Life（光与生命）,oil,assets/images/catalogue-raisonne/KXW-051.jpg,KXW-O-051_春日花语_Artwork.docx
KXW-O-052,《百合之歌》,Song of Lilies,2026,Oil on Canvas（布面油画）,60 cm（Diameter）,Light and Life（光与生命）,oil,assets/images/catalogue-raisonne/百合之歌.jpg,KXW-O-052_百合之歌_Artwork.docx
KXW-O-053,《花语》,Language of Flowers,2024,Oil on Canvas（布面油画）,30 × 40 cm,Still Life（静物）,oil,assets/images/catalogue-raisonne/KXW-053.jpg,KXW-O-053_花语_Artwork.docx
KXW-O-054,《花间微光》,Gentle Light Among Flowers,2023,Oil on Canvas（布面油画）,80 × 100 cm,Still Life（静物）,oil,assets/images/catalogue-raisonne/KXW-054.jpg,KXW-O-054_花间微光_Artwork.docx
KXW-O-055,《栖息之境》,Sanctuary,2024,Oil on Canvas（布面油画）,80 × 100 cm,Nature and Ecology（自然与生态）,oil,assets/images/catalogue-raisonne/KXW-055.jpg,KXW-O-055_栖息之境_Artwork.docx
KXW-O-056,《凤眼果》,Chinese Olive Fruit,2023,Oil on Canvas（布面油画）,50 × 70 cm,Botanical Expressions（植物表达）,oil,assets/images/catalogue-raisonne/KXW-056.jpg,KXW-O-056_凤眼果_Artwork_.docx
KXW-W-001,《和平境域》,The Condition of Peace（暂定）,2023,Watercolor on Paper（纸本水彩）,English:Relationship · Light · Labor · Peace · Coexistence · Watercolor中文：关系 · 光 · 劳动 · 和平 · 共生 · 水彩,Realm of Coexistence (万物存域),watercolor,assets/images/catalogue-raisonne/KXW-001.jpg,KXW-W-001_和平境域_Artwork.docx
KXW-G-002,《水波荡漾》,Ripples of Coexistence（暂定）,2025,Gouache on Paper（纸本水粉）,78 × 109 cm,Realm of Coexistence (万物存域),watercolor,assets/images/catalogue-raisonne/KXW-002.jpg,KXW-G-002_水波荡漾_Artwork.docx
